Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
disPie-R-G3I-Zip/40,5.9781530743737085e-2,5.904542407470249e-2,6.0888102987447484e-2,2.012787206646957e-3,1.2141563717150228e-3,3.391408889689169e-3
disPie-R-G3I-Zip/50,0.1063147091201812,0.10526573816920586,0.1090277275841085,2.8363469116085426e-3,1.148896240945197e-3,4.8563696823322915e-3
disPie-R-G3I-Zip/60,0.1864660659277722,0.18482717673900037,0.1900834610296346,3.7274194741384018e-3,1.6967240682577473e-3,5.818301938835425e-3
disPie-R-G3I-Zip/70,0.30282927178913377,0.30001270437202704,0.3067859980361564,4.707119722187258e-3,1.3072222875015276e-3,5.72832282227484e-3
disPie-R-G3I-Zip/80,0.45699093116106976,0.450888642916147,0.4628223160507332,7.943997927057793e-3,5.733882603164727e-3,9.961129816134758e-3
disPie-R-G3I-Zip/90,0.6505491673350722,0.6459378340337814,0.6590354472738303,8.609975242243568e-3,1.7265064576148827e-3,1.1668413261275433e-2
disPie-R-G3I-Zip/100,0.9171725627080983,0.9156780729147915,0.9188194275836091,1.960198310534484e-3,7.619063350527422e-4,2.5716026825872815e-3
disPie-R-G3C-Tree/10,2.123869491957823e-5,2.1201278817857473e-5,2.1323985857517704e-5,2.032027847983958e-7,1.0469046725691675e-7,3.981662148090503e-7
disPie-R-G3C-Tree/20,5.467648149109764e-5,5.458206061095935e-5,5.485284773769953e-5,4.650212419078957e-7,2.8134669299295405e-7,8.048514367429772e-7
disPie-R-G3C-Tree/30,1.102235195903617e-4,1.0689679540200636e-4,1.1506334199469673e-4,1.63906002694807e-5,1.158363356487642e-5,2.1632159109318903e-5
disPie-R-G3C-Tree/40,1.6584529273609648e-4,1.6497486054378038e-4,1.6708246420157698e-4,4.001086588656174e-6,2.917484699431044e-6,5.683641597649955e-6
disPie-R-G3C-Tree/50,2.4413194552078357e-4,2.4266621713928897e-4,2.4604371660389676e-4,6.56311845520352e-6,4.471571888367555e-6,1.1196401258364938e-5
disPie-R-G3C-Tree/60,3.3121826437270286e-4,3.3048493452141666e-4,3.3259064790243636e-4,3.7536254563026817e-6,2.362732084860285e-6,5.549157437312958e-6
disPie-R-G3C-Tree/70,4.348433515358334e-4,4.342556693405305e-4,4.360369717585446e-4,3.1722245321412838e-6,1.4009183432440568e-6,5.265023485079225e-6
disPie-R-G3C-Tree/80,5.568040314074711e-4,5.536972407440091e-4,5.691143641291571e-4,2.0389180135285788e-5,5.026169441581333e-6,4.6146384969010596e-5
disPie-R-G3C-Tree/90,6.878781805459512e-4,6.865451555981008e-4,6.903664180258589e-4,6.535682010782865e-6,3.998389376259097e-6,1.0163333369502069e-5
disPie-R-G3C-Tree/100,8.376794942513875e-4,8.350658586337173e-4,8.455974207940937e-4,1.491730998976005e-5,7.340341342316803e-6,3.017868762843156e-5
disPie-R-G3I-Tree/10,7.63634747799147e-4,7.626090892667869e-4,7.655844755170202e-4,5.376509534289184e-6,3.2497802922507043e-6,8.018817680247954e-6
disPie-R-G3I-Tree/20,6.537298644441072e-3,6.510501878323783e-3,6.569893668950453e-3,9.99436756202318e-5,7.686315672305954e-5,1.2492058993690251e-4
disPie-R-G3I-Tree/30,2.2948199195368182e-2,2.284236350840728e-2,2.311436377385072e-2,3.484631362500087e-4,2.3761877719422395e-4,5.567057402206129e-4
disPie-R-G3I-Tree/40,5.9975073968445584e-2,5.954694725320365e-2,6.042216632740248e-2,9.675622486860137e-4,7.997576039669641e-4,1.273616780493742e-3
disPie-R-G3I-Tree/50,0.10925784403879682,0.10749043690043901,0.111654554612733,3.939281826538327e-3,2.4354659719593302e-3,6.083898897260349e-3
disPie-R-G3I-Tree/60,0.19214543925522784,0.1898393590579413,0.19628169679358337,4.821240247424955e-3,1.4163106622073016e-3,6.632093933671311e-3
disPie-R-G3I-Tree/70,0.3108121585399847,0.3079681188718663,0.3144908370990639,4.69727111301694e-3,2.7665550172354903e-3,6.727243849725302e-3
disPie-R-G3I-Tree/80,0.46605643750206377,0.4605392245202691,0.47457114361087505,8.817825047527131e-3,6.269813401685296e-3,1.1550814665600291e-2
disPie-R-G3I-Tree/90,0.6700644609782103,0.6643616483097503,0.6795953231667227,9.073999849610227e-3,4.666303362635925e-5,1.10286232171069e-2
disPie-R-G3I-Tree/100,0.9246438722878642,0.9224409270815765,0.9278983252415856,3.124577564640379e-3,8.293516348863669e-4,4.172594395235259e-3
conPie-L-G3C-Zip/10,5.695380721402897e-5,5.655366695289445e-5,5.770876614829584e-5,2.1064947840078454e-6,1.5347106524740164e-6,3.2434037306918175e-6
conPie-L-G3C-Zip/20,1.210617534354734e-4,1.2028705831513302e-4,1.2246168910588895e-4,3.861287561764042e-6,2.551785199214309e-6,5.809654188748059e-6
