Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-L-GL-GenZ/80,2.926493553147366e-3,2.914808516373539e-3,2.9464693234695495e-3,5.504681176538659e-5,3.920216845783728e-5,7.714539125643079e-5
conBot-L-GL-GenZ/90,3.8992845908510767e-3,3.8736900825948116e-3,3.922331637219624e-3,8.959955351982349e-5,7.672408942629464e-5,1.0601639569921577e-4
conBot-L-GL-GenZ/100,5.357293198401074e-3,5.336535152782347e-3,5.38219355923493e-3,8.22484260733287e-5,6.432351778543531e-5,1.0672949709481793e-4
conBot-L-GL-GenT/10,2.344198021139577e-5,2.3365713173880876e-5,2.3573208300075108e-5,3.9055899582766e-7,2.5310209887986066e-7,5.819379344369074e-7
conBot-L-GL-GenT/20,9.626604600692168e-5,9.602251559776356e-5,9.6724562118947e-5,1.3346538348390204e-6,8.936866497024119e-7,1.992542736545023e-6
conBot-L-GL-GenT/30,2.4977426172055275e-4,2.48230738142265e-4,2.5526890734256074e-4,9.945246605147483e-6,2.9982336142788556e-6,2.2234377808262608e-5
conBot-L-GL-GenT/40,5.082672122217884e-4,5.071355201551847e-4,5.107360170968474e-4,6.1768451558481725e-6,3.683553963488953e-6,1.0510648559092408e-5
conBot-L-GL-GenT/50,9.04355495789452e-4,9.008496756249979e-4,9.106656375993391e-4,1.7383836330568668e-5,1.2058245128775692e-5,2.4584137117345463e-5
conBot-L-GL-GenT/60,1.4732465590677874e-3,1.469397884596938e-3,1.4785191783398546e-3,1.6742979267434456e-5,1.3356190463201748e-5,2.220183638989778e-5
conBot-L-GL-GenT/70,2.226505410927002e-3,2.21926599688408e-3,2.239073213445388e-3,3.578310988825828e-5,2.2048448418731942e-5,5.4322151437356225e-5
conBot-L-GL-GenT/80,3.2010964084179523e-3,3.1855892738762897e-3,3.262814683150988e-3,9.227362312889186e-5,3.432655054645734e-5,2.1158125566285392e-4
conBot-L-GL-GenT/90,4.427991112539713e-3,4.409465216772471e-3,4.457213530836219e-3,8.334206882554641e-5,6.124638311236848e-5,1.251724707361881e-4
conBot-L-GL-GenT/100,5.967501191052621e-3,5.935064768798159e-3,6.008008423717443e-3,1.324881033496603e-4,1.0847676744731141e-4,1.7391590247878172e-4
conBot-R-S4-GenZ/10,9.86122653595795e-7,9.82920955743579e-7,9.92135968425958e-7,1.6813503618234957e-8,1.0747739979139148e-8,2.4114094548033702e-8
conBot-R-S4-GenZ/20,1.4771495413323787e-6,1.471761927626033e-6,1.4874695768075802e-6,2.8783927499110278e-8,2.1116402661514922e-8,3.974174313532667e-8
conBot-R-S4-GenZ/30,1.9510945385162566e-6,1.9468803854675866e-6,1.960724469573559e-6,2.314196520140826e-8,1.3445805225495016e-8,4.103552582760993e-8
conBot-R-S4-GenZ/40,2.449490383300679e-6,2.4394446197733937e-6,2.4659939770540016e-6,4.982006011372842e-8,3.15281000594188e-8,7.633596087552865e-8
conBot-R-S4-GenZ/50,2.93017044609273e-6,2.922051234888103e-6,2.9459630265289257e-6,4.005014700508169e-8,2.415620749022197e-8,6.662317798953185e-8
conBot-R-S4-GenZ/60,3.446482695744418e-6,3.430885019572175e-6,3.471882564515421e-6,7.446114195797694e-8,5.342581188990754e-8,1.0010520200627258e-7
conBot-R-S4-GenZ/70,3.900458731850658e-6,3.892176392743539e-6,3.924111423462404e-6,4.617900511747721e-8,2.2317907291268613e-8,9.194174056336737e-8
conBot-R-S4-GenZ/80,4.382895703103395e-6,4.370609422874135e-6,4.400620554847987e-6,5.706340958185625e-8,3.672778494198015e-8,8.11447205613872e-8
conBot-R-S4-GenZ/90,4.901860874656076e-6,4.879879463955323e-6,4.9374262271067e-6,1.0544116660864466e-7,7.396141460639167e-8,1.6654667782395186e-7
conBot-R-S4-GenZ/100,5.373483680427996e-6,5.351169587015408e-6,5.416299502495675e-6,1.1263866775425355e-7,6.870099739341028e-8,1.6506577799626707e-7
conBot-R-S4-GenT/10,2.982437684257521e-4,2.898937011157496e-4,3.092233910781027e-4,3.84133925979044e-5,2.9971884485894802e-5,5.635697677497346e-5
conBot-R-S4-GenT/20,0.973041796688752,0.9307999166267109,1.034763838060826,5.828836494786959e-2,1.2117620816500876e-3,7.187635544302529e-2
